Size:124, Duration(usec):7833260
Size:164, Duration(usec):9609838
Size:2, Duration(usec):10313320
Size:95, Duration(usec):4720398
Size:11, Duration(usec):20253473
Size:72, Duration(usec):1868086
Size:1, Duration(usec):4720033
Size:955, Duration(usec):16306200
Size:11, Duration(usec):1867762
Size:226, Duration(usec):20252785
Size:2, Duration(usec):1867435
Size:378, Duration(usec):14114639
Size:12, Duration(usec):4184077
Size:242, Duration(usec):20252268
Size:132, Duration(usec):4183673
Size:134, Duration(usec):4183590
Size:122, Duration(usec):1866600
Size:347, Duration(usec):4183452
Size:201, Duration(usec):10311024
Size:160, Duration(usec):16304618
Size:3, Duration(usec):16304302
Size:318, Duration(usec):4717924
Size:273, Duration(usec):7829611
Size:268, Duration(usec):10309808
Size:3, Duration(usec):7829324
Size:55, Duration(usec):10309612
Size:3, Duration(usec):1864843
Size:3, Duration(usec):4181504
Size:3, Duration(usec):7828611
Size:11, Duration(usec):10308921
Size:285, Duration(usec):4716342
Size:181, Duration(usec):1864199
Size:3186, Duration(usec):14118312
Size:11, Duration(usec):14118236
Size:112, Duration(usec):1863614
Size:1, Duration(usec):20248732
Size:12, Duration(usec):14117630
Size:77, Duration(usec):4715009
Size:1, Duration(usec):10307351
Size:11, Duration(usec):20247899
Size:294, Duration(usec):1862568
Size:1, Duration(usec):16300674
Size:216, Duration(usec):7826380
Size:12, Duration(usec):10306653
Size:11, Duration(usec):20247184
Size:29, Duration(usec):16299924
Size:99, Duration(usec):4178379
Size:198, Duration(usec):4177957
Size:1, Duration(usec):20246160
Size:329, Duration(usec):16298719
Size:11, Duration(usec):14114804
Size:2, Duration(usec):1859895
Size:324, Duration(usec):4176376
Size:680, Duration(usec):4176079
Size:2, Duration(usec):16297345
Size:625, Duration(usec):10303190
Size:292, Duration(usec):20243780
Size:12, Duration(usec):4175348
Size:12, Duration(usec):14112828
Size:68, Duration(usec):1858141
Size:442, Duration(usec):4710083
Size:790, Duration(usec):7822069
Size:1, Duration(usec):7821817
Size:3, Duration(usec):10302062
Size:168, Duration(usec):16295623
Size:2134, Duration(usec):1857125
Size:268, Duration(usec):20242053
Size:2, Duration(usec):10301042
Size:12, Duration(usec):1856387
Size:3, Duration(usec):14110742
Size:129, Duration(usec):4173054
Size:4, Duration(usec):1856036
Size:3, Duration(usec):16294221
Size:35, Duration(usec):4172531
Size:3, Duration(usec):16293686
Size:11, Duration(usec):16293489
Size:182, Duration(usec):20240217
Size:3, Duration(usec):16292937
Size:205, Duration(usec):4706256
Size:1, Duration(usec):7817942
Size:882, Duration(usec):14108150
Size:12, Duration(usec):20238820
Size:180, Duration(usec):4705390
Size:12, Duration(usec):20238414
Size:334, Duration(usec):10297565
Size:66, Duration(usec):7816955
Size:3, Duration(usec):1852670
Size:5, Duration(usec):14107124
Size:250, Duration(usec):1852200
